Raw Weather Data for La Canada Flintridge, CA
	Maximum Wind Gust
Date	(knots)	Station Used
1991-02-06	22.0	MOUNT WILSON
1991-02-07	15.0	MOUNT WILSON
1991-02-17	27.0	MOUNT WILSON
1991-02-18	36.0	MOUNT WILSON
1991-02-19	15.0	MOUNT WILSON
1991-02-27	19.0	MOUNT WILSON
1991-02-28	36.0	MOUNT WILSON
1991-03-01	49.0	MOUNT WILSON
1991-03-02	32.0	MOUNT WILSON
1991-03-04	17.0	MOUNT WILSON
1991-03-05	19.0	MOUNT WILSON
1991-03-07	21.0	MOUNT WILSON
1991-03-13	17.0	MOUNT WILSON
1991-03-14	21.0	MOUNT WILSON
1991-03-15	17.0	MOUNT WILSON
1991-03-17	22.0	MOUNT WILSON
1991-03-18	38.0	MOUNT WILSON
1991-03-19	25.0	BURBANK-GLENDALE-PAS
1991-03-23	15.0	MOUNT WILSON
1991-03-25	25.0	MOUNT WILSON
1991-03-27	29.0	MOUNT WILSON
1991-03-28	20.0	MOUNT WILSON
1991-04-01	20.0	MOUNT WILSON
1991-04-10	22.0	MOUNT WILSON
1991-04-11	26.0	MOUNT WILSON
1991-04-12	17.0	MOUNT WILSON
1991-04-26	15.0	MOUNT WILSON
1991-04-27	29.0	BURBANK-GLENDALE-PAS
1991-04-28	22.0	MOUNT WILSON
1991-05-18	15.0	MOUNT WILSON
1991-05-31	15.0	MOUNT WILSON
1991-06-12	15.0	MOUNT WILSON
1991-06-20	15.0	MOUNT WILSON
1991-06-26	18.0	MOUNT WILSON
1991-06-27	22.0	MOUNT WILSON
1991-09-30	15.0	MOUNT WILSON
1991-10-07	15.0	MOUNT WILSON
1991-10-08	17.0	MOUNT WILSON
1991-10-27	22.0	MOUNT WILSON
1991-10-30	29.0	MOUNT WILSON
1991-11-14	21.0	MOUNT WILSON
1991-11-15	20.0	MOUNT WILSON
1991-11-18	27.0	MOUNT WILSON
1991-11-28	34.0	MOUNT WILSON
1991-11-29	20.0	BURBANK-GLENDALE-PAS
1991-11-30	52.0	MOUNT WILSON
1991-12-01	28.0	MOUNT WILSON
1991-12-08	17.0	MOUNT WILSON
1991-12-09	18.0	MOUNT WILSON
1991-12-19	42.0	MOUNT WILSON
1991-12-20	38.0	MOUNT WILSON
1991-12-27	15.0	MOUNT WILSON
1991-12-28	25.0	BURBANK-GLENDALE-PAS
1992-01-05	52.0	MOUNT WILSON
1992-01-08	15.0	MOUNT WILSON
1992-01-12	20.0	BURBANK-GLENDALE-PAS
1992-01-29	24.0	MOUNT WILSON
1992-02-02	20.0	MOUNT WILSON
1992-02-03	24.0	MOUNT WILSON
1992-02-07	22.0	MOUNT WILSON
1992-02-10	35.0	MOUNT WILSON
1992-02-11	40.0	MOUNT WILSON
1992-02-12	42.0	MOUNT WILSON
1992-02-16	17.0	MOUNT WILSON
1992-02-22	20.0	MOUNT WILSON
1992-02-23	24.0	MOUNT WILSON
1992-02-26	18.0	MOUNT WILSON
1992-03-02	21.0	MOUNT WILSON
1992-03-03	42.0	MOUNT WILSON
1992-03-14	15.0	MOUNT WILSON
1992-03-17	17.0	MOUNT WILSON
1992-03-19	15.0	MOUNT WILSON
1992-03-20	19.0	MOUNT WILSON
1992-03-21	39.0	MOUNT WILSON
1992-03-22	15.0	MOUNT WILSON
1992-03-23	46.0	MOUNT WILSON
1992-03-25	15.0	MOUNT WILSON
1992-04-02	19.0	MOUNT WILSON
1992-04-05	15.0	MOUNT WILSON
1992-04-08	17.0	MOUNT WILSON
1992-04-18	19.0	MOUNT WILSON
1992-05-21	22.0	MOUNT WILSON
1992-06-01	15.0	MOUNT WILSON
1992-06-15	15.0	MOUNT WILSON
1992-06-16	24.0	MOUNT WILSON
1992-07-07	15.0	MOUNT WILSON
1992-07-19	17.0	MOUNT WILSON
1992-07-22	17.0	MOUNT WILSON
1992-08-04	15.0	MOUNT WILSON
1992-09-04	22.0	MOUNT WILSON
1992-09-30	21.0	MOUNT WILSON
1992-10-02	21.0	MOUNT WILSON
1992-10-31	22.0	MOUNT WILSON
1992-11-01	15.0	MOUNT WILSON
1992-11-18	19.0	MOUNT WILSON
1992-11-20	39.0	MOUNT WILSON
1992-11-21	23.0	MOUNT WILSON
1992-11-28	22.0	MOUNT WILSON
1992-11-29	16.0	MOUNT WILSON
